runoff,surface_pressure_hpa,mean_temp_c,max_temp_2m_c,min_temp_2m_c,precipitation_mm,dew_point_c,mean_wind_speed_ms,wind_v_ms,wind_u_ms,solar_net_radiation_j_m2,solar_down_radiation_j_m2
22.734375,810.63,8.86,15.12,-0.0,0.06,-1.46,0.57,-0.13,0.46,12235710.0,13913224.0
22.640625,813.46,9.47,15.8,3.16,0.0,-1.96,0.6,0.11,0.58,13717790.0,15592884.0
22.546875,810.77,9.65,16.82,2.84,0.0,-4.18,0.93,0.32,0.85,14018616.0,15931904.0
22.46875,806.01,10.22,17.52,2.09,0.02,-2.08,0.8,0.1,0.23,13920442.0,15818728.0
22.453125,810.87,5.49,12.02,-0.04,0.01,-1.21,0.87,-0.42,-0.69,12942062.0,14705796.0
22.34375,812.2,8.71,15.53,-0.22,0.0,-0.51,0.61,0.17,0.46,13298654.0,15110488.0
22.234375,814.61,9.82,16.31,3.28,0.0,1.15,0.3,-0.08,0.01,13756400.0,15628704.0
22.140625,809.96,10.74,17.65,2.85,0.0,-0.53,1.02,0.47,0.89,14032586.0,15941300.0
22.0625,808.09,10.47,17.13,2.5,0.01,-1.73,0.89,0.09,0.44,14210236.0,16142252.0
22.0,811.75,6.86,13.48,1.01,0.02,-0.83,0.81,-0.21,-0.69,13510874.0,15346152.0
21.90625,814.88,4.09,9.55,-0.82,0.45,-1.86,1.08,-0.26,-1.03,9030972.0,10259776.0
21.828125,815.5,2.18,4.37,-0.65,0.81,-3.35,0.51,-0.13,-0.06,4760520.0,5568736.0
21.75,815.82,5.7,10.7,0.95,0.01,-0.6,0.5,-0.0,0.13,9081012.0,10554464.0
21.671875,812.36,10.24,15.83,2.0,0.0,2.76,0.96,0.22,0.88,11928548.0,13674492.0
21.59375,818.53,6.24,10.95,1.11,0.18,0.86,0.77,-0.31,-0.46,10761286.0,12259636.0
21.515625,817.77,10.36,17.05,0.74,0.0,1.79,0.71,0.22,0.64,13500700.0,15351372.0
21.4375,817.32,11.68,18.35,5.13,0.0,2.76,0.55,0.22,0.34,14400164.0,16361172.0
21.34375,812.43,13.13,19.92,5.62,0.0,1.75,1.2,0.6,1.03,14721406.0,16723840.0
21.328125,811.46,14.19,21.03,7.13,0.0,0.43,1.14,0.59,0.98,14793390.0,16806404.0
21.484375,813.42,13.93,20.29,6.95,0.0,0.45,0.9,0.4,0.72,14704808.0,16707436.0
21.578125,813.95,12.74,19.85,6.01,0.01,-0.9,0.65,0.16,0.13,14939714.0,16975824.0
21.4375,815.31,7.43,13.7,2.01,0.02,0.75,0.92,-0.3,-0.8,12645974.0,14369560.0
21.140625,812.42,11.71,18.73,1.45,0.0,-3.16,0.81,0.39,0.65,15078126.0,17137128.0
20.921875,813.02,11.83,18.72,1.87,0.0,-4.11,1.08,0.26,0.57,15521226.0,17643288.0
20.796875,815.5,8.02,14.43,-0.16,0.0,-3.42,0.63,-0.16,-0.46,15264940.0,17354060.0
20.703125,810.92,11.18,17.42,2.85,0.72,1.62,1.2,0.74,0.91,13307456.0,15130388.0
20.625,811.87,10.26,15.84,4.34,0.29,0.49,1.01,0.5,0.86,13861822.0,15762872.0
20.546875,811.56,11.87,18.35,3.96,0.0,-2.08,0.85,0.25,0.61,15847736.0,18022972.0
20.453125,810.32,11.93,18.95,4.27,0.0,-4.02,0.83,0.42,0.45,15707782.0,17865536.0
20.359375,808.8,12.83,18.92,5.37,0.01,-5.24,0.84,0.41,0.65,16138164.0,18357108.0
20.28125,810.72,11.6,17.99,4.46,0.0,-3.46,0.84,0.35,0.68,15941126.0,18134908.0
20.1875,808.26,13.19,18.77,5.91,0.0,-4.86,1.11,0.57,0.94,16304934.0,18551260.0
20.109375,808.12,13.33,19.06,6.49,0.0,-5.68,1.06,0.52,0.9,16383592.0,18643244.0
20.015625,808.4,13.13,18.92,5.89,0.0,-5.65,0.96,0.42,0.81,16580554.0,18869448.0
19.9375,808.44,13.27,18.76,5.21,0.0,-4.95,1.17,0.57,1.0,16374216.0,18636808.0
19.84375,808.22,13.44,18.6,7.23,0.0,-5.5,1.23,0.72,1.0,16415870.0,18686576.0
19.765625,811.68,12.0,17.82,5.32,0.02,-5.25,0.97,0.43,0.85,16663896.0,18971168.0
19.6875,810.44,13.44,20.54,4.94,0.0,-6.52,1.11,0.66,0.88,17373418.0,19781260.0
19.59375,807.24,14.37,20.44,7.06,0.0,-6.13,1.14,0.66,0.92,17257974.0,19652148.0
19.5,805.21,15.41,21.13,7.79,0.0,-3.58,1.47,0.81,1.22,17236700.0,19630240.0
19.4375,806.22,16.34,21.79,8.33,0.0,-2.0,1.63,0.91,1.34,17197054.0,19587428.0
19.34375,811.68,12.28,20.59,1.35,0.01,-0.69,1.16,0.22,0.08,17224020.0,19620240.0
19.25,811.42,9.84,18.02,1.25,0.0,-1.34,0.76,-0.12,-0.54,16714312.0,19041588.0
19.15625,805.36,14.72,21.11,4.63,0.0,-2.99,1.35,0.57,0.96,17609630.0,20064536.0
19.09375,807.64,9.21,19.33,-0.96,0.0,-2.39,1.01,-0.09,-0.26,14501690.0,16525312.0
19.0,810.85,5.84,17.21,-2.62,0.11,-3.96,1.02,-0.31,-0.61,13500178.0,15385940.0
18.90625,811.26,6.33,18.49,-3.17,0.01,-5.19,1.16,-0.14,-0.46,16051852.0,18297024.0
18.9375,813.32,1.18,6.47,-3.37,5.72,-6.75,1.23,-0.52,-1.11,10970920.0,12517144.0
19.03125,815.13,-1.96,1.12,-4.19,7.5,-5.93,0.99,-0.54,-0.69,5881440.0,9910664.0
18.96875,811.88,5.66,12.52,-2.63,0.0,-2.02,0.69,0.23,0.6,9872586.0,18800120.0
18.84375,808.8,12.03,18.63,1.5,0.19,0.59,0.6,0.29,0.43,14293864.0,20436068.0
19.6875,809.85,13.49,19.29,5.99,0.03,-0.47,0.7,0.13,0.63,16685336.0,20640176.0
20.78125,810.05,15.51,22.27,6.66,0.0,-2.34,0.96,0.58,0.73,18394074.0,21537586.0
19.75,804.08,16.53,21.02,9.26,0.0,-1.63,1.39,0.92,1.04,15089186.0,17349162.0
18.71875,803.2,16.64,21.84,10.04,0.0,-0.94,1.44,0.87,1.13,18793542.0,21489994.0
18.21875,806.95,15.55,20.95,9.38,0.01,-1.02,0.82,0.55,0.55,17664234.0,20169062.0
18.03125,808.35,15.63,21.74,8.62,0.0,-1.74,0.88,0.39,0.77,18736346.0,21388932.0
17.90625,807.01,17.06,22.94,8.92,0.04,-1.98,1.1,0.73,0.79,19117772.0,21825812.0
17.8125,807.74,17.01,22.38,10.64,0.0,-2.18,1.24,0.7,1.02,19123982.0,21835626.0
17.71875,807.86,17.22,22.91,10.03,0.0,-0.95,1.14,0.73,0.87,19614984.0,22399378.0
17.625,805.1,17.88,22.54,11.21,0.11,0.89,1.5,1.08,1.02,18538712.0,21173834.0
17.5625,806.84,13.99,20.16,9.26,1.44,4.81,1.13,0.43,0.99,13562178.0,15492814.0
17.53125,804.44,16.54,21.45,9.16,0.07,0.4,1.44,0.78,1.19,18483208.0,21116402.0
17.5,804.56,17.5,22.23,9.26,0.07,0.93,1.47,0.88,0.95,18093050.0,20673696.0
17.4375,809.11,11.82,19.65,4.76,0.36,2.3,0.94,-0.25,-0.62,13697043.0,15652618.0
17.34375,807.61,15.98,22.43,4.65,1.15,1.59,1.02,0.36,0.58,15819596.0,18080968.0
17.3125,815.82,5.52,9.86,1.12,3.04,-0.71,1.49,-0.6,-1.35,10224609.0,11687014.0
17.28125,819.73,4.09,7.49,1.13,1.77,-3.35,0.91,-0.36,-0.8,8628139.0,10003032.0
17.21875,815.84,10.28,16.24,1.27,0.7,0.93,0.45,-0.19,-0.19,13930650.0,16256966.0
17.15625,812.09,15.51,21.92,6.16,0.03,3.54,0.85,0.46,0.69,19047478.0,21955732.0
17.09375,809.0,18.52,24.66,9.51,0.0,1.41,0.77,0.44,0.51,20764328.0,23796564.0
17.03125,806.47,19.01,24.59,11.08,0.0,-0.28,1.28,0.81,0.96,20437590.0,23388316.0
17.03125,808.96,16.09,23.78,7.51,0.06,0.45,1.33,0.34,0.11,21166184.0,24217496.0
17.03125,815.5,11.44,21.4,3.95,2.77,1.62,1.16,-0.17,-0.91,15864918.0,18152364.0
16.96875,815.84,14.32,20.65,4.44,0.18,0.69,0.87,0.42,0.7,19947130.0,22827894.0
16.90625,819.3,16.56,21.59,9.87,0.29,1.34,0.79,-0.13,-0.31,19596522.0,22429878.0
16.84375,815.56,18.73,24.72,10.75,0.02,-0.11,0.86,0.38,0.76,20585700.0,23566324.0
16.75,810.5,19.32,25.22,12.16,0.0,-1.27,1.06,0.45,0.95,20959220.0,23997954.0
16.65625,812.06,20.28,27.04,12.2,0.0,-5.95,0.67,0.07,-0.14,21087860.0,24148780.0
16.5625,806.0,21.85,27.99,11.97,0.0,-4.8,1.26,0.88,0.88,22363384.0,25613868.0
16.4375,804.13,21.21,27.89,12.66,0.11,2.1,1.01,0.48,0.42,20789702.0,23815348.0
16.375,804.07,19.62,26.64,11.47,0.03,4.86,1.27,0.55,0.39,17175028.0,19677866.0
16.375,813.49,7.47,13.73,2.23,3.18,0.92,1.58,-0.71,-1.4,8191890.0,9389252.0
16.5,818.68,3.16,5.27,1.74,8.59,-0.19,0.97,-0.32,-0.53,4351902.0,5575564.0
16.53125,812.32,12.09,19.82,2.4,0.05,2.65,1.19,0.05,0.16,16236392.0,22848876.0
16.6875,815.46,12.03,17.36,4.23,3.26,4.31,0.58,-0.13,-0.42,16180768.0,19555686.0
17.03125,810.69,13.82,19.86,9.21,12.48,9.97,0.85,0.67,0.42,12541722.0,14533678.0
18.65625,809.11,14.14,19.9,9.22,9.23,9.39,0.9,0.4,0.24,15493996.0,17802162.0
20.8125,809.06,15.03,19.88,9.61,2.14,8.52,0.6,0.4,0.05,12395642.0,14221810.0
20.1875,806.8,16.61,21.42,7.69,2.98,6.55,1.34,0.72,0.55,19235102.0,22067968.0
18.96875,812.23,6.25,8.45,4.21,15.83,5.04,0.99,-0.45,-0.87,4293528.0,4926912.0
20.90625,811.72,7.92,12.59,4.38,9.91,5.23,0.81,-0.36,-0.69,6807988.0,7812344.0
23.40625,809.25,16.1,21.81,6.09,0.75,7.65,0.72,0.22,0.59,16582336.0,19032828.0
22.28125,809.81,17.18,22.75,10.89,1.58,10.11,0.77,0.23,0.66,18373636.0,21091828.0
21.125,807.87,19.07,24.45,9.4,0.12,7.18,1.05,0.28,0.5,20341408.0,23354732.0
19.625,813.4,11.64,15.89,7.51,1.7,7.07,1.15,-0.3,-1.1,11449038.0,13145770.0
18.125,815.03,11.37,17.73,3.93,7.4,7.4,0.83,-0.43,-0.53,12106078.0,13902700.0
17.9375,810.71,17.2,23.82,5.49,0.0,1.67,0.87,0.52,0.65,22905812.0,26311586.0
17.84375,805.14,21.31,26.75,12.92,0.0,5.56,0.97,0.5,0.78,23454518.0,26946278.0
16.875,804.19,21.16,25.74,14.53,0.34,8.73,1.05,0.78,0.58,20191406.0,23200950.0
16.34375,805.31,20.84,26.39,14.35,0.0,6.67,1.24,0.5,1.12,20554322.0,23622518.0
16.28125,807.97,20.72,27.65,12.71,0.31,8.34,0.86,0.24,-0.2,21116948.0,24272444.0
16.15625,807.72,20.17,25.61,13.48,0.71,9.21,1.09,0.72,0.12,12932542.0,14865994.0
16.59375,813.18,12.45,19.06,7.92,18.74,7.89,0.98,-0.42,-0.73,14820018.0,17039788.0
19.96875,813.11,17.01,23.52,9.01,0.01,7.47,0.49,0.07,-0.22,22285504.0,25628002.0
