runoff,surface_pressure_hpa,mean_temp_c,max_temp_2m_c,min_temp_2m_c,precipitation_mm,dew_point_c,mean_wind_speed_ms,wind_v_ms,wind_u_ms,solar_net_radiation_j_m2,solar_down_radiation_j_m2
25.9375,786.93,4.07,10.1,-5.49,0.05,-1.19,0.73,-0.14,0.55,11833750.0,14105912.0
25.859375,789.27,5.94,11.93,0.43,0.0,-0.75,1.18,-0.15,1.03,13239324.0,15365004.0
25.890625,786.22,6.07,12.01,0.46,0.0,-4.33,1.41,-0.11,1.35,13776608.0,15753912.0
26.96875,783.27,1.53,8.49,-3.93,0.81,-3.09,1.07,-0.07,-0.77,11381534.0,12913060.0
27.25,787.49,-0.25,4.76,-4.06,0.14,-2.99,0.76,-0.29,-0.46,9162026.0,10684924.0
26.34375,788.05,5.34,11.63,-2.08,0.07,0.53,0.75,0.24,0.11,12151956.0,13956284.0
25.828125,790.79,4.71,11.78,-1.94,0.02,0.78,0.6,-0.13,0.16,12209110.0,13868972.0
25.671875,784.91,8.14,14.41,-1.93,0.0,-0.6,1.48,0.18,1.4,13606156.0,15379596.0
26.84375,784.61,4.19,11.65,-1.07,0.38,-0.11,0.78,0.04,-0.32,11535882.0,13004372.0
27.8125,788.57,0.68,6.66,-3.5,1.23,-1.93,1.23,0.11,-1.03,11325238.0,12871596.0
26.8125,791.97,-3.34,0.25,-6.76,3.65,-5.74,1.49,-0.33,-1.42,5561748.0,6752972.0
25.953125,791.26,-3.23,-0.0,-6.88,0.99,-6.46,0.83,0.07,-0.41,5218262.0,7794496.0
25.5,791.34,1.24,7.04,-4.88,0.06,-2.19,0.8,0.11,0.41,8006868.0,11256308.0
25.375,788.21,4.4,12.19,-2.63,0.15,0.43,1.2,0.09,0.49,10732868.0,13615116.0
25.609375,794.84,0.83,5.95,-2.77,0.05,-1.87,0.78,-0.39,-0.28,9680012.0,11651604.0
25.59375,793.44,7.06,13.44,-1.27,0.0,1.14,1.07,0.14,0.83,13493212.0,15729968.0
25.265625,792.85,9.07,15.71,2.72,0.0,1.45,0.95,0.29,0.66,14324186.0,16350688.0
26.0,786.91,10.59,16.97,3.42,0.0,0.96,1.69,0.47,1.54,13415974.0,15187384.0
29.65625,785.85,12.84,18.92,6.24,0.0,-0.64,1.7,0.69,1.5,14134808.0,15954568.0
35.703125,789.44,8.11,16.51,1.53,0.14,0.94,1.17,0.63,0.02,12615078.0,14223976.0
38.78125,790.52,6.28,13.66,-1.32,0.39,1.11,1.15,0.5,-0.55,13792808.0,15558576.0
36.890625,791.96,-0.32,6.52,-3.99,0.39,-3.01,1.23,0.37,-0.99,11440968.0,13064388.0
34.453125,787.52,8.03,14.3,-3.27,0.0,-1.85,1.14,0.8,0.68,14335304.0,16352308.0
32.109375,789.21,5.1,13.74,-2.16,0.09,-2.36,1.26,0.3,-0.05,13188820.0,14936752.0
