runoff,surface_pressure_hpa,mean_temp_c,max_temp_2m_c,min_temp_2m_c,precipitation_mm,dew_point_c,mean_wind_speed_ms,wind_v_ms,wind_u_ms,solar_net_radiation_j_m2,solar_down_radiation_j_m2
35.828125,801.98,4.37,13.08,-1.72,0.13,-1.22,1.12,-0.68,-0.02,12154540.0,13607516.0
35.359375,804.22,6.85,15.31,-0.12,0.04,-0.98,1.13,0.21,0.35,13773946.0,15373872.0
34.921875,800.69,8.76,17.15,-0.11,0.0,-6.76,1.32,0.91,0.75,14099900.0,15719176.0
34.53125,797.79,6.55,17.58,0.36,0.56,-2.48,1.4,-0.86,-0.79,14082896.0,15693724.0
34.171875,802.66,1.69,7.34,-1.11,0.07,-2.27,1.28,-0.94,-0.52,6580228.0,7389804.0
33.8125,803.33,6.11,14.34,-1.0,0.12,-0.03,1.46,0.02,-0.12,13451552.0,15044120.0
33.453125,806.18,5.01,12.96,-1.19,0.02,0.48,0.97,-0.28,-0.49,12308974.0,13737304.0
33.078125,799.86,9.2,17.52,-0.93,0.01,-2.52,1.65,1.07,0.65,13509026.0,15061628.0
32.71875,799.57,6.46,17.39,0.7,0.25,-1.27,1.45,-0.95,-0.37,13830902.0,15411800.0
32.359375,803.6,4.98,12.67,0.61,0.47,-0.88,1.5,-0.55,-0.69,11305192.0,12620884.0
32.046875,807.29,0.92,4.68,-3.37,1.54,-3.4,1.78,-1.26,-1.22,4431202.0,5023508.0
31.78125,806.66,0.95,5.47,-3.43,0.3,-4.99,1.31,0.22,-0.34,6812668.0,8071812.0
31.578125,806.74,3.99,10.52,-1.86,0.05,-2.29,1.08,0.68,-0.02,8818592.0,10242164.0
31.375,803.22,7.4,16.76,-1.14,0.23,0.42,1.92,0.39,0.29,12499602.0,14152316.0
31.21875,810.07,2.37,7.47,-0.52,0.06,-2.1,1.29,-0.7,-0.58,7990864.0,8978192.0
31.03125,808.64,7.89,16.52,-0.46,0.05,0.89,1.34,0.37,0.08,14642310.0,16374496.0
30.78125,808.02,10.46,17.97,2.3,0.0,1.24,0.92,0.83,0.04,14274996.0,15921692.0
30.484375,801.85,12.33,20.65,3.79,0.0,0.14,2.16,1.88,0.95,14988260.0,16709460.0
30.109375,801.07,13.92,22.18,5.74,0.0,-2.11,2.2,1.81,0.97,15117484.0,16854060.0
29.671875,804.49,11.46,20.87,2.37,0.16,0.11,1.98,0.38,0.26,14713086.0,16406120.0
29.265625,805.73,8.43,18.14,1.56,0.34,0.78,1.4,-0.27,-0.58,13752944.0,15339100.0
28.921875,807.31,4.31,9.0,0.64,0.56,-0.13,1.25,-0.53,-0.96,6855860.0,7674800.0
28.59375,802.88,10.45,18.3,3.56,0.04,-2.21,1.36,0.75,0.55,13373370.0,14939444.0
