runoff,surface_pressure_hpa,mean_temp_c,max_temp_2m_c,min_temp_2m_c,precipitation_mm,dew_point_c,mean_wind_speed_ms,wind_v_ms,wind_u_ms,solar_net_radiation_j_m2,solar_down_radiation_j_m2
54.859375,795.39,11.06,15.72,6.32,0.07,-0.28,2.25,1.13,1.86,11770510.0,13289648.0
54.515625,797.82,10.43,15.81,4.96,0.0,-3.73,1.0,-0.08,0.84,14557126.0,16437148.0
54.21875,795.8,11.06,17.0,4.55,0.0,-4.75,1.5,0.59,1.29,14865332.0,16786392.0
53.796875,791.75,11.51,17.68,5.38,0.0,-3.53,2.08,1.36,1.5,14737382.0,16643148.0
53.359375,794.08,11.32,17.51,2.47,0.0,-2.03,2.3,1.37,0.98,14656388.0,16552892.0
52.9375,796.96,10.86,16.7,1.79,0.0,0.88,1.9,1.34,0.74,13966346.0,15774732.0
52.625,798.9,10.69,17.45,3.09,0.0,-0.6,1.58,0.1,0.35,14711414.0,16617504.0
52.296875,795.78,11.28,17.93,2.82,0.0,-1.72,2.09,1.17,1.47,14607050.0,16500832.0
51.9375,793.37,11.85,18.19,6.55,0.0,-7.19,2.78,1.13,2.34,15255708.0,17234868.0
51.546875,795.2,10.9,17.63,2.83,0.01,-4.18,2.06,1.45,0.12,15053392.0,17007572.0
51.1875,797.95,6.6,13.71,2.25,0.18,1.25,2.63,1.28,-2.02,10442542.0,11798996.0
51.015625,799.27,3.11,5.06,1.61,0.38,-1.78,1.82,0.9,-1.53,4626424.0,5262496.0
50.984375,800.36,5.98,10.11,1.63,0.38,2.18,1.35,0.99,-0.67,5620826.0,6405968.0
50.78125,798.47,10.18,16.74,2.69,0.06,3.92,2.59,1.54,1.91,12567808.0,14263588.0
50.328125,801.73,10.14,17.77,2.49,0.1,2.7,1.97,0.7,0.46,13587244.0,15378492.0
49.84375,802.86,9.55,15.79,1.83,0.01,3.29,1.47,0.87,0.79,13049800.0,14760140.0
49.5,802.33,11.59,17.65,4.75,0.0,3.73,0.89,0.52,0.51,14828322.0,16770232.0
49.171875,798.71,12.78,19.33,5.78,0.0,3.43,1.94,1.05,1.56,15397496.0,17416084.0
48.765625,797.82,13.68,20.56,7.22,0.0,2.77,1.87,1.05,1.42,15494976.0,17529804.0
48.375,799.45,13.76,19.65,7.82,0.0,3.28,1.97,1.17,1.41,15026890.0,17004092.0
48.03125,799.06,13.97,19.86,7.16,0.0,-1.04,1.43,1.01,0.51,16011420.0,18122412.0
47.625,799.05,12.55,19.69,5.63,0.1,2.01,2.11,1.58,0.23,15367886.0,17398176.0
47.203125,798.3,13.0,19.43,5.38,0.01,1.01,2.24,1.67,1.18,15183824.0,17193764.0
46.90625,798.57,13.49,19.71,7.26,0.0,-2.01,2.43,1.24,1.82,15930628.0,18043788.0
46.625,799.76,11.77,19.61,5.17,0.0,-0.21,2.02,1.56,-0.21,16220990.0,18377052.0
46.734375,797.7,9.27,15.71,4.45,5.46,5.73,2.59,2.01,1.44,10889162.0,12339532.0
49.1875,797.41,10.13,15.15,4.39,0.31,-0.53,2.53,0.88,2.31,14787886.0,16761464.0
48.859375,797.23,11.72,18.08,5.33,0.0,-3.78,2.12,1.1,1.75,16723314.0,18959688.0
46.828125,796.39,12.34,18.57,6.61,0.0,-3.77,2.39,1.59,1.68,16846026.0,19103340.0
45.5,795.49,11.3,18.3,4.96,0.0,-3.84,3.13,1.72,2.58,16920818.0,19192728.0
44.796875,796.46,12.17,18.56,5.08,0.0,-3.9,2.75,1.2,2.4,16884826.0,19156460.0
44.265625,795.06,11.99,18.87,6.05,0.0,-4.68,3.2,1.61,2.71,17157620.0,19470584.0
43.765625,794.88,12.93,19.4,6.65,0.0,-5.36,3.09,1.62,2.57,16948488.0,19237844.0
43.34375,795.1,12.96,19.47,7.65,0.0,-4.25,3.25,1.92,2.58,17280440.0,19619296.0
42.984375,795.21,13.03,19.43,7.69,0.0,-4.7,3.49,1.94,2.88,17313428.0,19661428.0
42.671875,795.08,12.78,18.92,6.05,0.0,-4.36,3.58,1.77,3.1,16265266.0,18475536.0
42.40625,796.95,12.75,18.31,5.95,0.0,-8.34,2.45,0.82,2.25,17647116.0,20049928.0
42.125,796.63,13.34,20.34,5.55,0.0,-9.17,2.15,1.27,1.66,18121404.0,20593708.0
41.8125,793.92,13.36,20.47,7.46,0.0,-7.85,3.39,1.47,3.01,18023830.0,20487704.0
41.46875,792.79,14.25,21.03,7.73,0.0,-2.81,3.99,1.66,3.61,17847448.0,20292040.0
41.1875,794.07,14.63,21.26,7.14,0.0,-1.64,3.97,1.41,3.7,17671130.0,20096372.0
40.9375,796.99,15.25,21.56,9.91,0.0,-1.71,2.75,1.27,2.25,17385910.0,19776724.0
40.65625,796.55,14.64,21.14,8.81,0.0,-3.93,3.11,2.43,1.83,18176540.0,20681020.0
40.375,792.89,14.85,21.0,8.51,0.0,-2.53,4.66,2.15,4.09,18142482.0,20647172.0
40.0625,793.41,14.36,20.37,7.9,0.0,-1.61,4.27,2.27,3.59,18151270.0,20662116.0
39.8125,795.34,14.01,20.39,7.65,0.0,-2.24,3.91,2.06,3.14,18188752.0,20709788.0
39.5625,795.41,14.19,20.56,7.29,0.01,-2.53,3.64,2.05,2.58,18476728.0,21043688.0
40.5,795.39,11.63,18.78,3.79,8.82,2.86,3.28,2.19,0.39,11941324.0,13604124.0
47.96875,797.29,3.84,7.41,1.32,10.42,1.25,2.14,0.92,-1.9,6051412.0,6992392.0
58.3125,796.59,8.22,12.78,1.26,0.27,3.26,1.5,1.08,0.28,9579886.0,11160218.0
57.25,794.53,11.72,17.27,6.0,0.04,3.02,2.43,1.39,1.54,16298050.0,18731160.0
51.46875,795.19,13.11,17.57,8.01,0.06,-0.83,1.95,0.54,1.75,18269240.0,20888056.0
45.84375,796.11,14.69,20.83,8.09,0.0,-0.54,1.81,1.17,1.21,19394050.0,22141122.0
42.03125,791.77,14.44,20.31,8.32,0.0,-1.03,4.0,1.97,3.45,18019570.0,20567766.0
39.71875,790.67,14.01,20.6,7.29,0.0,0.54,4.42,1.6,4.1,19372090.0,22114982.0
38.4375,793.41,13.46,19.88,7.32,0.0,1.81,3.22,1.31,2.85,19074882.0,21781458.0
37.6875,794.17,15.11,20.73,8.04,0.24,0.79,2.51,0.54,2.32,19118508.0,21837524.0
37.125,793.94,14.9,22.14,8.01,0.0,-1.89,2.96,2.0,2.13,20008720.0,22860968.0
36.375,794.47,15.34,21.93,7.89,0.0,-3.84,3.53,1.71,3.05,20176946.0,23059854.0
35.53125,794.61,15.73,22.77,9.0,0.0,-1.54,3.6,1.58,3.2,20214686.0,23109666.0
34.875,792.55,16.11,22.96,8.81,0.0,-0.4,4.13,1.96,3.63,19626372.0,22443630.0
34.4375,792.71,15.92,21.65,8.99,0.02,-0.97,4.01,1.45,3.7,18151908.0,20763588.0
34.1875,791.7,16.16,22.13,9.86,0.48,-0.44,4.38,1.66,4.04,17145674.0,19618108.0
33.96875,791.76,16.88,23.32,10.06,0.0,1.22,4.54,1.54,4.24,19306860.0,22097380.0
33.75,794.52,16.44,22.22,10.11,0.35,2.74,4.22,2.11,3.58,16444325.0,18826434.0
33.5,794.19,17.71,23.35,10.66,0.1,3.02,4.62,2.03,4.11,15259726.0,17475484.0
33.25,797.65,15.13,23.86,4.25,0.03,0.13,3.83,1.57,1.3,20212228.0,23153974.0
33.0,802.82,7.7,14.7,3.26,0.94,-2.34,2.92,1.57,-2.17,16778606.0,19227178.0
32.78125,800.46,10.47,17.56,3.37,0.1,1.87,2.11,1.58,0.22,12892632.0,14894924.0
32.46875,797.85,15.54,23.52,6.37,0.14,1.23,2.88,1.18,2.48,19641386.0,22565096.0
32.0625,795.46,17.62,24.98,9.48,0.0,-0.89,3.51,1.34,3.19,21064914.0,24166142.0
31.65625,793.66,17.72,24.75,9.62,0.0,-5.82,4.26,1.68,3.91,21609716.0,24791372.0
31.5,794.69,17.71,24.01,9.51,0.0,-6.69,3.32,1.56,2.84,21649612.0,24843552.0
31.46875,798.59,16.18,23.52,7.46,0.05,-2.42,2.92,1.73,0.34,21440576.0,24610722.0
31.46875,800.61,15.31,21.01,7.36,0.04,-0.17,2.19,1.66,0.6,18106288.0,20786954.0
31.375,803.38,16.86,23.58,10.18,0.05,0.1,1.87,0.19,0.17,20551346.0,23598266.0
