runoff,surface_pressure_hpa,mean_temp_c,max_temp_2m_c,min_temp_2m_c,precipitation_mm,dew_point_c,mean_wind_speed_ms,wind_v_ms,wind_u_ms,solar_net_radiation_j_m2,solar_down_radiation_j_m2
1435.9844,797.51,11.42,15.92,5.2,0.0,-4.7,1.41,0.86,0.79,12219464.0,13783692.0
1421.8594,800.47,9.9,15.14,4.45,0.0,-5.72,0.86,0.23,0.1,14220426.0,16042192.0
1407.9062,798.21,10.43,16.22,4.2,0.0,-7.35,0.89,0.4,0.12,14531784.0,16394740.0
1391.5781,793.44,12.66,18.1,5.12,0.0,-4.84,1.26,1.09,0.27,14321912.0,16159268.0
1375.0938,796.18,11.54,17.9,3.61,0.0,-5.21,1.16,0.3,-0.06,14463604.0,16320564.0
1361.2969,799.11,11.08,16.31,3.19,0.0,-3.02,0.99,0.54,0.06,14071106.0,15878900.0
1348.0,801.32,11.04,16.49,5.37,0.0,-2.69,0.82,0.21,0.04,14339834.0,16183364.0
1333.3125,797.72,12.14,17.31,5.15,0.0,-4.45,1.06,0.75,0.25,14529436.0,16398700.0
1318.0625,795.38,12.35,18.13,5.39,0.0,-7.95,1.41,0.89,0.61,14781938.0,16684968.0
1304.3125,797.34,10.89,17.05,3.89,0.0,-5.17,1.02,0.19,-0.53,14607490.0,16489420.0
1293.0625,799.78,8.38,16.14,2.7,0.01,-1.0,1.52,-0.18,-1.03,12440136.0,14044748.0
1283.625,801.28,5.48,8.31,2.6,0.06,-1.35,0.89,0.23,-0.8,5538272.0,6257180.0
1274.5781,802.32,8.66,13.14,2.5,0.07,0.21,0.86,0.38,-0.04,9787358.0,11059076.0
1262.2031,800.18,12.78,17.78,5.61,0.05,1.78,1.56,1.19,0.83,12211600.0,13792896.0
1248.4219,803.98,11.18,17.68,4.26,0.01,0.29,1.31,-0.02,-0.01,13217984.0,14929024.0
1236.1719,804.81,11.63,17.2,3.93,0.0,1.07,1.05,0.73,0.13,14086954.0,15912076.0
1224.0,804.5,12.74,18.17,6.14,0.0,1.75,0.76,0.35,0.08,14899432.0,16832584.0
1210.4219,800.61,14.15,19.46,7.48,0.0,0.45,1.1,0.81,0.36,15092922.0,17054304.0
1196.875,799.67,15.09,20.51,8.62,0.0,-1.16,1.13,0.77,0.35,15138302.0,17108820.0
1185.9531,801.33,14.62,19.93,7.88,0.0,-0.73,1.38,1.08,0.45,14439128.0,16321528.0
1177.5625,801.09,14.23,19.76,7.31,0.0,-4.19,1.0,0.69,0.09,15668334.0,17714736.0
1169.0312,800.89,14.25,19.65,8.4,0.0,-5.48,0.97,0.65,0.16,15619450.0,17662860.0
1158.4219,800.11,14.2,19.04,7.65,0.0,-6.33,1.34,1.03,0.53,15847222.0,17924052.0
1147.0625,800.5,14.05,19.55,6.79,0.0,-10.1,1.52,0.97,0.7,15981078.0,18078988.0
1136.4844,801.56,13.42,19.07,5.68,0.0,-8.01,0.92,0.46,-0.19,16111576.0,18230124.0
1127.2969,799.24,11.27,16.76,5.77,1.25,2.97,1.67,1.41,0.66,11338624.0,12832952.0
1118.4219,799.58,10.35,15.11,4.48,0.1,-1.51,1.27,0.7,0.49,14272218.0,16155502.0
1109.0469,799.16,13.02,18.27,4.97,0.0,-5.82,1.31,0.98,0.54,16305062.0,18459860.0
1098.9219,798.08,13.51,19.1,6.52,0.0,-7.18,1.49,1.25,0.53,16532828.0,18721396.0
1089.0312,797.14,13.28,19.14,7.0,0.0,-8.81,1.76,1.32,1.01,16607778.0,18810016.0
