runoff,surface_pressure_hpa,mean_temp_c,max_temp_2m_c,min_temp_2m_c,precipitation_mm,dew_point_c,mean_wind_speed_ms,wind_v_ms,wind_u_ms,solar_net_radiation_j_m2,solar_down_radiation_j_m2
11.03125,772.97,6.64,14.19,0.27,0.1,-1.5,1.52,0.21,0.83,13088100.0,14526260.0
11.078125,775.65,6.61,13.58,0.22,0.01,-3.6,1.05,0.3,0.86,14194914.0,15750284.0
10.734375,772.77,5.84,15.43,-1.31,0.0,-5.08,1.88,1.07,1.51,14574960.0,16170124.0
10.6875,769.08,7.56,15.97,-1.26,0.26,-2.08,1.49,0.57,-0.0,14737670.0,16349476.0
11.171875,773.09,3.91,12.1,-0.79,0.24,-0.53,1.11,-0.62,-0.31,10189012.0,11309728.0
11.0625,774.64,6.61,13.4,-0.78,0.03,-1.02,1.4,0.81,0.45,12792618.0,14199092.0
10.59375,777.34,5.92,13.17,0.06,0.06,0.67,1.18,0.09,-0.57,13700000.0,15198256.0
10.109375,772.18,6.97,15.92,0.33,0.01,-1.66,2.16,1.56,1.38,13876196.0,15391796.0
9.875,770.76,8.0,16.16,0.42,0.27,-3.79,1.55,-0.13,0.53,15128594.0,16779412.0
9.8125,774.41,5.16,11.64,0.64,1.07,-0.13,1.73,0.21,-0.92,12375518.0,13730336.0
11.09375,777.46,0.82,3.64,-3.43,2.48,-2.74,1.86,-0.7,-1.53,4028038.0,4561996.0
12.421875,777.35,-0.23,2.09,-3.54,0.41,-4.74,1.52,0.88,-0.72,4978458.0,6030164.0
12.28125,778.1,1.59,6.46,-1.91,0.08,-1.77,1.57,1.35,-0.38,5822008.0,6952940.0
11.421875,774.84,7.08,14.59,-1.73,0.02,1.22,2.02,1.35,1.02,12447178.0,14276960.0
10.84375,780.57,3.63,8.49,-1.37,0.03,-0.98,1.51,-0.61,-0.45,10654264.0,11950812.0
10.28125,780.09,7.7,14.74,-1.54,0.01,0.76,1.35,0.89,0.5,14835228.0,16525104.0
9.890625,779.95,8.43,15.98,1.12,0.0,1.8,1.17,1.06,0.16,14824792.0,16462560.0
10.046875,774.8,9.25,18.6,0.82,0.0,0.86,2.3,1.7,1.5,15458428.0,17152736.0
10.328125,774.13,10.64,20.21,1.56,0.0,-0.49,2.31,1.58,1.61,15529190.0,17229228.0
10.671875,776.42,10.92,18.46,2.47,0.01,0.65,2.06,1.2,1.15,15162172.0,16823460.0
10.84375,777.08,9.05,17.45,1.85,0.23,0.41,1.76,1.11,-0.34,15137902.0,16797444.0
10.6875,778.07,5.8,12.03,2.95,0.97,2.94,1.72,0.27,-1.1,6905582.0,7664848.0
10.578125,775.19,8.96,16.85,1.54,0.02,-0.84,2.39,2.01,1.09,14672078.0,16285496.0
10.171875,775.93,8.92,17.22,-1.35,0.08,-4.91,2.39,0.67,1.3,16318668.0,18115608.0
9.828125,778.21,5.47,13.93,-1.52,0.05,0.21,1.69,1.1,-0.85,14348064.0,15952624.0
9.546875,773.99,6.44,14.23,0.14,4.17,3.04,2.9,2.57,1.22,13175984.0,14642740.0
9.40625,773.99,6.23,13.76,-0.94,0.04,-2.0,2.41,0.99,2.13,15192926.0,16877324.0
9.4375,774.14,9.05,17.35,-1.04,0.09,-4.16,1.57,0.48,0.86,16755074.0,18611868.0
9.4375,773.11,8.48,17.02,1.8,0.03,-3.75,2.01,1.53,0.95,16078780.0,17860816.0
9.390625,771.83,9.6,17.2,1.8,0.01,-6.47,1.82,1.12,1.1,16547160.0,18382396.0
9.5,773.34,8.04,15.73,1.22,0.0,-5.56,1.93,0.96,1.52,16289384.0,18097532.0
9.609375,771.39,8.99,16.77,1.46,0.0,-6.85,2.45,1.82,1.5,17019400.0,18912036.0
10.28125,771.31,9.7,16.93,0.79,0.0,-7.57,2.43,1.79,1.46,17109338.0,19015272.0
10.71875,771.64,10.25,17.24,3.2,0.0,-7.05,2.42,1.9,1.38,17258482.0,19182404.0
11.265625,771.62,9.5,17.02,1.88,0.0,-7.02,2.85,2.12,1.8,17261274.0,19187792.0
10.890625,771.52,9.33,16.58,1.31,0.0,-6.8,3.04,2.24,1.96,16638254.0,18498536.0
10.328125,774.03,7.35,15.41,-1.9,0.0,-8.32,2.74,1.04,2.44,17783144.0,19773796.0
9.90625,772.87,9.42,19.61,-2.16,0.0,-9.43,2.59,1.76,1.85,18291812.0,20341932.0
9.96875,769.36,10.03,19.02,0.56,0.0,-8.65,2.86,1.15,2.56,18117768.0,20150964.0
10.28125,767.38,11.46,20.38,0.77,0.0,-5.82,3.3,1.46,2.94,18102966.0,20137088.0
10.71875,769.45,11.94,19.43,2.84,0.0,-3.68,3.87,1.96,3.28,17916150.0,19931888.0
11.5625,774.7,10.29,19.78,2.64,0.27,-1.89,1.99,0.01,0.25,17832952.0,19841464.0
11.8125,774.42,7.43,18.12,1.6,0.15,-1.5,2.17,1.5,-0.52,12529874.0,13944662.0
11.125,768.93,11.27,18.83,1.22,0.0,-5.34,3.31,1.68,2.08,18381160.0,20457064.0
10.375,770.68,7.77,18.92,-0.78,0.03,-3.08,2.07,0.09,0.27,17189362.0,19132284.0
10.0,773.34,6.27,18.08,-0.76,0.11,-3.09,1.95,-0.1,-0.17,16136536.0,17971248.0
9.8125,773.86,6.05,19.06,-2.29,0.19,-4.57,2.63,0.21,0.06,17961112.0,20047640.0
9.84375,775.43,1.22,8.05,-3.51,10.06,-3.45,2.32,0.49,-1.65,8942474.0,10063488.0
10.3125,776.47,-1.48,3.02,-4.5,3.61,-5.53,2.02,-0.15,-1.23,5888176.0,10036944.0
10.1875,773.94,5.02,10.74,-3.22,0.03,-1.63,1.59,1.14,0.8,12030104.0,20321084.0
10.46875,771.79,8.47,16.2,1.71,0.01,0.1,1.51,0.95,0.55,14944328.0,19688088.0
12.34375,772.69,9.61,16.16,2.1,0.61,-1.34,1.72,0.34,1.3,17200260.0,20375014.0
14.21875,773.25,11.25,19.87,1.34,0.0,-2.92,2.2,1.53,1.41,19335738.0,21965854.0
14.71875,767.32,11.9,19.3,2.69,0.0,-3.71,3.45,2.12,2.69,17349436.0,19455414.0
14.375,766.58,11.65,18.54,3.48,0.0,-2.9,3.52,1.76,2.98,19774430.0,22098634.0
13.75,770.37,11.66,18.14,3.57,0.06,-2.7,1.59,0.45,1.14,19070696.0,21300416.0
12.8125,771.46,12.09,19.01,3.25,0.0,-3.82,2.29,0.56,1.98,19654776.0,21957556.0
11.90625,770.8,13.17,21.19,4.31,0.0,-4.62,3.07,2.7,1.38,20209862.0,22584308.0
11.53125,771.09,13.26,19.9,4.61,0.0,-6.1,3.36,1.84,2.69,20326724.0,22721948.0
11.40625,770.68,13.1,20.91,5.05,0.0,-4.1,2.93,1.32,2.52,20513782.0,22938482.0
11.1875,768.57,13.8,21.06,5.18,0.01,-2.03,3.5,1.81,2.95,20281026.0,22685704.0
13.34375,769.35,12.97,20.0,5.23,0.19,-0.05,2.69,0.89,2.47,18793910.0,21027756.0
13.15625,767.65,13.18,20.09,5.55,0.01,-2.49,3.65,1.73,3.1,19900654.0,22274978.0
12.1875,768.19,14.41,21.19,4.11,0.08,-1.49,3.57,1.32,2.62,20482642.0,22932964.0
12.8125,772.39,10.47,18.59,3.38,0.61,1.55,1.82,-0.01,-0.27,16873888.0,18897880.0
13.0,771.2,14.57,21.59,4.6,0.14,0.31,2.7,0.97,1.7,17207838.0,19278746.0
13.25,778.3,4.72,13.66,-0.65,0.66,-1.76,2.82,-2.06,-1.83,12710333.0,14242752.0
15.84375,781.78,2.14,6.44,-0.95,0.16,-5.48,2.12,0.09,-1.68,9181877.0,10592452.0
