runoff,surface_pressure_hpa,mean_temp_c,max_temp_2m_c,min_temp_2m_c,precipitation_mm,dew_point_c,mean_wind_speed_ms,wind_v_ms,wind_u_ms,solar_net_radiation_j_m2,solar_down_radiation_j_m2
2.609375,915.45,5.86,10.52,1.05,0.0,1.99,0.71,0.04,-0.36,11207566.0,12297508.0
2.59375,916.51,5.55,10.22,0.42,0.03,2.63,1.14,0.15,-0.38,10227956.0,11212780.0
2.578125,911.74,6.77,11.69,0.29,0.21,4.17,0.99,-0.64,-0.42,12306916.0,13484620.0
2.578125,912.57,5.96,7.6,4.65,0.53,3.52,0.5,-0.31,-0.24,2271132.0,2485984.0
2.5625,916.25,6.11,8.74,3.67,0.11,2.72,0.71,-0.2,-0.13,5639340.0,6175464.0
2.5625,917.53,6.42,9.87,3.49,0.67,3.71,0.85,-0.49,-0.57,8432038.0,9236044.0
2.546875,919.34,5.75,8.87,2.72,0.03,3.67,0.63,0.22,-0.35,4307944.0,4718096.0
2.546875,912.22,5.92,9.24,2.69,0.56,3.56,0.9,-0.66,-0.21,7784566.0,8525976.0
2.53125,913.94,6.39,7.47,4.98,0.74,4.1,0.5,-0.24,-0.1,2531842.0,2770780.0
2.546875,918.52,7.03,9.59,4.44,5.03,4.19,0.99,-0.88,-0.06,5215404.0,5706984.0
3.046875,924.28,4.07,5.83,2.15,1.71,0.7,1.27,-1.06,0.32,4290470.0,4696280.0
2.96875,922.06,5.21,8.86,1.94,0.33,-0.1,0.82,0.03,-0.44,8819132.0,9659656.0
2.703125,921.28,5.55,9.1,2.73,0.01,1.22,0.71,0.17,-0.43,9308958.0,10193868.0
2.5625,918.38,5.42,8.59,2.47,1.19,2.48,0.84,-0.63,-0.14,8518488.0,9327736.0
2.53125,923.87,6.28,11.28,1.71,0.05,2.04,0.74,0.18,0.06,8037998.0,8797932.0
2.515625,922.49,7.08,10.83,1.61,0.01,3.4,0.81,-0.26,-0.23,11884038.0,13009496.0
2.515625,920.23,8.64,12.83,4.46,0.21,5.87,0.69,-0.21,-0.49,11447962.0,12532972.0
2.5,913.39,7.29,8.84,5.7,0.35,5.79,0.54,-0.41,-0.29,3766040.0,4123548.0
2.5,912.6,6.92,8.36,5.75,0.67,5.42,0.8,-0.61,-0.03,4377818.0,4795684.0
2.484375,919.14,8.03,10.29,5.51,0.62,3.83,1.0,-0.74,0.2,3320008.0,3633756.0
2.484375,920.75,7.37,10.91,4.61,1.82,2.02,1.04,-0.56,-0.05,10181344.0,11146180.0
2.484375,923.65,4.45,5.79,3.44,1.91,1.08,1.04,-0.89,-0.07,3696336.0,4047212.0
2.484375,917.81,5.37,8.07,3.56,0.87,1.25,0.73,-0.38,-0.49,7709592.0,8443856.0
2.46875,920.41,3.99,5.68,1.36,2.07,2.04,0.97,-0.33,0.03,3162160.0,3462876.0
2.46875,921.62,6.15,10.45,1.01,0.01,1.66,0.81,0.17,-0.11,9060696.0,9920520.0
2.46875,913.29,6.18,9.59,2.22,0.81,2.62,0.96,-0.57,-0.12,10584008.0,11595520.0
